weekday;time;-15;-10;-5;0;5;10;15;20;25;30
0;00:00;0,0338;0,0342;0,0343;0,0313;0,0309;0,0302;0,0273;0,0268;0,0275;0,0276
0;01:00;0,0338;0,0342;0,0344;0,0327;0,0320;0,0355;0,0312;0,0315;0,0337;0,0353
0;02:00;0,0355;0,0352;0,0346;0,0326;0,0315;0,0324;0,0330;0,0367;0,0383;0,0398
0;03:00;0,0357;0,0359;0,0360;0,0354;0,0358;0,0375;0,0414;0,0439;0,0485;0,0551
0;04:00;0,0345;0,0357;0,0368;0,0386;0,0434;0,0454;0,0548;0,0572;0,0607;0,0677
0;05:00;0,0411;0,0436;0,0465;0,0491;0,0516;0,0556;0,0644;0,0681;0,0669;0,0724
0;06:00;0,0478;0,0449;0,0451;0,0459;0,0458;0,0472;0,0484;0,0519;0,0509;0,0521
0;07:00;0,0434;0,0440;0,0446;0,0462;0,0452;0,0467;0,0544;0,0580;0,0616;0,0633
0;08:00;0,0406;0,0413;0,0421;0,0453;0,0446;0,0437;0,0471;0,0441;0,0436;0,0432
0;09:00;0,0405;0,0405;0,0404;0,0430;0,0424;0,0423;0,0415;0,0408;0,0391;0,0375
0;10:00;0,0397;0,0393;0,0387;0,0414;0,0404;0,0395;0,0400;0,0400;0,0394;0,0392
0;11:00;0,0421;0,0414;0,0404;0,0415;0,0399;0,0385;0,0380;0,0356;0,0349;0,0337
0;12:00;0,0405;0,0395;0,0382;0,0393;0,0378;0,0365;0,0361;0,0350;0,0353;0,0341
0;13:00;0,0402;0,0392;0,0378;0,0386;0,0368;0,0347;0,0335;0,0333;0,0321;0,0302
0;14:00;0,0391;0,0385;0,0377;0,0379;0,0377;0,0359;0,0339;0,0320;0,0299;0,0278
0;15:00;0,0386;0,0388;0,0387;0,0388;0,0385;0,0345;0,0331;0,0306;0,0304;0,0274
0;16:00;0,0388;0,0389;0,0388;0,0391;0,0380;0,0370;0,0335;0,0301;0,0282;0,0257
