TWh;2008;2009;2010;2011;2012;2013
AT;23,4926;18,3754;21,7481;19,771;19,3058;19,3058
BE;34,5411;33,727;38,1464;33,4944;34,3085;36,9834
BG;3,7216;3,7216;4,0705;4,3031;4,1868;3,9542
CY;0,8141;0,6978;0,8141;0,8141;0,6978;0,5815
CZ;22,097;20,0036;22,5622;21,7481;21,1666;21,2829
DE;202,9167;177,8227;200,1523;168,5187;183,9866;198,8889
DK;13,0256;12,6767;12,4441;12,4441;12,3278;12,4441
EE;3,1401;3,0238;2,9075;2,7912;2,9075;2,9075
ES;30,5869;30,5869;32,6803;28,1446;31,401;29,5402
FI;18,9569;21,7481;23,7252;20,8177;22,6785;20,934
FR;111,648;112,5784;128,9767;95,366;110,8339;116,9978
GB;92,3422;77,6884;82,6893;70,4778;72,9201;70,943
GR;8,3736;7,7921;6,2802;7,9084;8,0247;7,0943
HR;2,9075;2,9075;3,2564;3,0238;2,7912;2,6749
HU;19,3058;21,3992;22,6785;22,2133;19,1895;16,5146
IE;11,9789;9,8855;9,4203;7,7921;7,7921;7,5595
IT;89,7836;88,7369;91,877;83,5034;87,9228;87,8065
LT;3,3727;3,3727;3,489;3,1401;3,489;3,2564
LU;3,3727;2,7912;3,3727;2,7912;2,9075;3,1401
LV;4,1868;3,9542;4,3031;3,7216;4,3031;4,0705
MT;0,1163;0;0,1163;0,1163;0,1163;0,1163
NL;54,661;56,0566;61,9879;50,8231;54,661;56,0566
PL;41,1702;43,1473;51,7535;46,1711;47,4504;45,7059
PT;6,7454;7,3269;6,1639;5,4661;6,3965;6,1639
RO;9,4203;9,7692;10,2344;10,0018;9,8855;9,6529
SE;26,4001;27,0979;31,7499;25,9349;26,9816;25,1208
SI;2,6749;2,5586;2,7912;2,5586;1,9771;1,8608
SK;14,7701;15,0027;16,8635;12,5604;11,3974;13,3745
