TWh;2008;2009;2010;2011;2012;2013
AT;3,1401;3,6053;3,2564;3,0238;2,9075;2,9075
BE;3,6053;3,489;3,6053;3,1401;3,2564;3,489
BG;1,2793;1,163;1,2793;1,2793;1,2793;1,2793
CY;0,2326;0,2326;0,2326;0,2326;0,2326;0,2326
CZ;2,7912;2,7912;2,7912;2,7912;2,6749;2,6749
DE;27,6794;26,2838;29,075;26,2838;27,3305;28,3772
DK;1,9771;1,9771;1,8608;1,7445;1,7445;1,7445
EE;0,3489;0,3489;0,3489;0,3489;0,3489;0,3489
ES;10,8159;10,9322;11,2811;11,7463;11,5137;11,0485
FI;1,8608;1,8608;1,8608;1,7445;1,8608;1,7445
FR;18,8406;19,3058;19,4221;18,2591;19,1895;19,5384
GB;24,3067;22,7948;23,1437;22,6785;22,9111;23,26
GR;3,3727;3,3727;2,7912;2,6749;2,7912;2,6749
HR;1,0467;1,0467;1,0467;1,0467;1,0467;0,9304
HU;2,7912;2,6749;2,7912;2,7912;2,4423;2,0934
IE;1,5119;1,5119;1,3956;1,163;1,163;1,163
IT;19,6547;19,0732;19,0732;17,6776;17,9102;17,7939
LT;0,8141;0,8141;0,8141;0,8141;0,8141;0,8141
LU;0,2326;0,2326;0,2326;0,2326;0,2326;0,2326
LV;0,6978;0,5815;0,5815;0,5815;0,5815;0,5815
MT;0,1163;0,1163;0,2326;0,2326;0,2326;0,2326
NL;4,4194;4,5357;4,5357;4,0705;4,1868;4,1868
PL;11,7463;11,9789;11,8626;11,2811;11,1648;10,8159
PT;2,326;2,4423;2,0934;1,9771;1,9771;1,9771
RO;2,9075;3,0238;3,0238;2,9075;2,7912;2,9075
SE;3,1401;3,1401;2,9075;2,5586;2,5586;2,5586
SI;0,5815;0,5815;0,5815;0,5815;0,5815;0,5815
SK;1,5119;1,5119;1,5119;1,163;1,0467;1,163
