TWh;2008;2009;2010;2011;2012;2013
AT;46,6363;44,6592;49,6601;44,4266;46,4037;50,3579
BE;76,0602;70,2452;79,2003;63,965;68,7333;75,8276
BG;15,2353;15,0027;16,5146;17,6776;17,5613;16,7472
CY;1,163;1,2793;1,0467;1,163;1,163;0,9304
CZ;49,4275;49,4275;55,824;48,0319;49,5438;51,6372
DE;504,0442;481,3657;514,1623;424,3787;445,8942;477,4115
DK;35,3552;35,7041;41,1702;35,3552;35,2389;35,1226
EE;6,6291;6,978;7,5595;6,8617;7,0943;6,8617
ES;88,0391;88,7369;97,1105;88,0391;87,8065;85,5968
FI;40,0072;42,6821;48,6134;40,9376;44,5429;41,2865
FR;340,0612;339,4797;351,5749;291,2152;328,8964;346,574
GB;316,2197;307,8461;361,8093;257,2556;308,5439;310,6373
GR;41,4028;37,4486;34,7737;44,4266;38,379;25,1208
HR;20,934;21,3992;22,4459;20,934;20,0036;19,6547
HU;40,3561;41,2865;44,194;42,2169;39,7746;37,3323
IE;25,7023;25,3534;26,9816;21,2829;21,2829;22,097
IT;292,4945;297,8443;309,5906;271,6768;296,4487;296,6813
LT;12,2115;12,5604;12,9093;12,0952;12,2115;11,7463
LU;3,8379;4,0705;4,5357;3,9542;3,9542;4,1868
LV;11,3974;12,0952;10,6996;10,3507;10,6996;9,7692
MT;0,1163;0,1163;0,1163;0,1163;0,1163;0,1163
NL;85,2479;87,6902;102,6929;80,1307;86,4109;91,7607
PL;119,789;119,0912;135,2569;120,2542;123,278;172,8218
PT;8,6062;8,7225;6,7454;6,5128;6,5128;6,5128
RO;46,52;44,7755;45,4733;43,031;44,3103;41,868
SE;43,4962;46,9852;55,0099;51,5209;54,0795;51,0557
SI;7,9084;8,8388;9,8855;9,304;8,9551;8,7225
SK;15,9331;16,0494;17,6776;15,8168;14,6538;15,2353
