TWh;2008;2009;2010;2011;2012;2013
AT;9,304;8,9551;9,8855;9,8855;10,1181;10,5833
BE;10,5833;10,6996;10,8159;11,2811;11,1648;11,3974
BG;1,5119;1,5119;1,6282;2,4423;2,2097;2,0934
CY;0,8141;0,8141;0,8141;0,8141;0,9304;0,8141
CZ;10,3507;10,2344;10,3507;10,3507;10,6996;10,6996
DE;95,8312;94,203;100,3669;101,4136;102,4603;107,4612
DK;7,4432;7,3269;7,4432;7,4432;6,978;7,0943
EE;2,326;2,326;2,326;2,0934;2,2097;2,0934
ES;39,542;40,705;44,7755;37,0997;37,0997;35,1226
FI;9,1877;9,1877;9,1877;9,0714;9,0714;9,1877
FR;45,8222;45,7059;43,031;45,7059;45,4733;45,5896
GB;78,2699;78,9677;74,7809;75,3624;76,2928;76,758
GR;3,9542;3,7216;3,6053;4,1868;4,3031;3,489
HR;2,2097;2,2097;2,4423;2,5586;2,4423;2,326
HU;12,793;12,4441;11,8626;11,1648;10,467;9,8855
IE;5,6987;5,6987;5,4661;5,2335;5,1172;5,2335
IT;31,5173;31,1684;33,8433;34,4248;34,3085;34,5411
LT;1,7445;1,6282;1,7445;1,8608;1,8608;1,7445
LU;0,5815;0,4652;0,5815;0,5815;0,6978;0,6978
LV;2,9075;3,1401;2,9075;2,7912;2,9075;2,6749
MT;0,1163;0,1163;0,2326;0,2326;0,2326;0,2326
NL;21,6318;19,0732;20,5851;17,9102;18,2591;19,3058
PL;50,5905;51,7535;55,1262;51,2883;52,335;52,1024
PT;6,3965;6,5128;7,2106;6,3965;6,1639;5,9313
RO;11,3974;11,5137;11,2811;10,9322;8,2573;8,2573
SE;7,5595;8,141;9,6529;8,4899;9,0714;8,6062
SI;2,2097;2,6749;2,9075;2,7912;2,7912;2,7912
SK;4,7683;4,7683;5,2335;4,7683;5,1172;5,2335
